date,confirmed,deaths,country,new_cases,new_deaths,new_cases_7day_avg,growth_rate,case_fatality_rate,retail_recreation,grocery_pharmacy,transit,workplaces,residential,day_of_week,day_of_month,month,year,week_of_year,is_weekend,day_of_week_sin,day_of_week_cos,month_sin,month_cos,is_major_holiday,new_cases_lag_1,new_cases_lag_3,new_cases_lag_7,new_cases_lag_14,new_cases_rolling_mean_3,new_cases_rolling_std_3,new_cases_rolling_max_3,new_cases_rolling_mean_7,new_cases_rolling_std_7,new_cases_rolling_max_7,new_cases_rolling_mean_14,new_cases_rolling_std_14,new_cases_rolling_max_14,new_cases_growth_rate,new_cases_acceleration,new_cases_cumulative,mobility_index,retail_recreation_lag_7,retail_recreation_lag_14,grocery_pharmacy_lag_7,grocery_pharmacy_lag_14,transit_lag_7,transit_lag_14,workplaces_lag_7,workplaces_lag_14,residential_lag_7,residential_lag_14,cases_mobility_interaction
2021-08-16,32250679,432079,India,25166.0,437.0,36074.42857142857,0.0780934038195235,1.339751637477152,-3.057233704292528,46.72898799313894,2.305993690851735,-9.750373692077728,10.54015748031496,0,16,8,2021,33,0,0.0,1.0,-0.8660254037844385,-0.5000000000000004,0,32937.0,38667.0,28204.0,30549.0,31395.333333333332,5619.410496958967,36083.0,36074.42857142857,5527.771698650028,41195.0,37440.857142857145,5540.144858659594,44643.0,-23.593527036463545,-14.874739795934765,25623357.5,5.260442796458371,-4.20859872611465,-7.623211446740859,45.58904109589041,42.05811965811966,0.9747634069400632,-2.5534591194968552,-9.623318385650224,-10.05829596412556,10.946456692913388,11.439370078740158,-2714.160717488789
2021-08-17,32285857,432519,India,35178.0,440.0,35620.857142857145,0.1090767732363051,1.3396546977210484,-3.892234548335975,43.50515463917526,2.979559748427673,-8.853512705530642,10.624605678233438,1,17,8,2021,33,0,0.7818314824680298,0.6234898018587336,-0.8660254037844385,-0.5000000000000004,0,25166.0,36083.0,38353.0,42625.0,31093.666666666668,5254.373828852741,35178.0,35620.857142857145,5439.196736915524,41195.0,36908.92857142857,5358.64204187537,44643.0,39.78383533338632,63.37736236984986,25658535.5,5.097698295918096,-1.848966613672496,-6.662440570522979,47.10671256454389,41.68096054888508,4.325984251968504,-1.4355345911949686,-7.6741405082212255,-10.639760837070254,10.227129337539433,11.180817610062894,-2943.263109118087
2021-08-18,32322258,433049,India,36401.0,530.0,34936.0,0.1127459617999315,1.3397857290787047,-3.1123417721518987,46.4082332761578,5.028346456692914,-4.294469357249627,10.573228346456691,2,18,8,2021,33,0,0.9749279121818236,-0.22252093395631434,-0.8660254037844385,-0.5000000000000004,0,35178.0,32937.0,41195.0,42982.0,32248.333333333332,6163.888085724192,36401.0,34936.0,4894.955158121007,40120.0,36438.857142857145,5065.553608701075,44643.0,3.4766046961168806,-36.30723063726944,25694936.5,3.2379232547913257,-1.5253968253968253,-6.104928457869635,48.029209621993125,43.21305841924399,4.766929133858268,0.3669291338582677,-6.301943198804185,-7.648729446935725,9.9937106918239,10.894488188976378,-2596.0855007473842
2021-08-19,32358829,433589,India,36571.0,540.0,34429.0,0.1131449417921315,1.3399403297319563,-1.8351822503961963,48.40963855421687,5.303459119496855,-7.621823617339312,11.133437990580848,3,19,8,2021,33,0,0.43388373911755823,-0.900968867902419,-0.8660254037844385,-0.5000000000000004,0,36401.0,25166.0,40120.0,44643.0,36050.0,759.9427610020446,36571.0,34429.0,4430.26601910264,38667.0,35862.28571428572,4486.1603494865985,41195.0,0.4670201368094373,-3.0095845593074433,25731507.5,3.8217461847048755,-3.819620253164557,-5.789223454833597,44.00684931506849,42.13504273504274,1.7118110236220472,-0.8820754716981132,-6.36322869955157,-7.249626307922272,10.940251572327044,11.500784929356358,-2552.92735426009
2021-08-20,32393286,433964,India,34457.0,375.0,33827.57142857143,0.1064840757989182,1.3396726716764702,-2.4098101265822787,47.78424657534247,4.145339652448657,-18.113602391629296,13.227848101265822,4,20,8,2021,33,0,-0.433883739117558,-0.9009688679024191,-0.8660254037844385,-0.5000000000000004,0,36571.0,35178.0,38667.0,38628.0,35809.666666666664,1174.523449460561,36571.0,33827.57142857143,4026.405918317636,36571.0,35564.357142857145,4426.461020986931,41195.0,-5.780536490662003,-6.24755662747144,25765964.5,7.401480241757184,-3.4247226624405704,-5.313291139240507,46.23407917383821,45.11187607573149,2.688783570300158,0.5946372239747634,-5.210762331838565,-5.5874439461883405,11.274015748031497,11.558359621451103,-2014.845470852018
2021-08-21,32424234,434367,India,30948.0,403.0,33094.0,0.0955383161806988,1.3396368901112667,1.6240126382306477,54.43739279588336,14.3801261829653,-6.457399103139013,9.751188589540412,5,21,8,2021,33,1,-0.9749279121818236,-0.2225209339563146,-0.8660254037844385,-0.5000000000000004,0,34457.0,36401.0,36083.0,39070.0,33992.0,2840.19383141351,36571.0,33094.0,4014.7592704937865,36571.0,34984.21428571428,4463.747514545741,41195.0,-10.183707229300287,-4.403170738638284,25796912.5,0.051112217870869614,-5.682464454976303,-10.348101265822784,43.36130136986301,36.62157534246575,1.3333333333333333,-0.258267716535433,-8.868263473053892,-4.758982035928144,11.646592709984152,11.353407290015848,-3199.9355089820356
2021-08-22,32449306,434756,India,25072.0,389.0,31970.42857142857,0.0773248799031067,1.3398006108358682,-10.04739336492891,34.29623287671233,7.595576619273301,-20.193403298350823,8.243589743589743,6,22,8,2021,33,1,-0.7818314824680299,0.6234898018587334,-0.8660254037844385,-0.5000000000000004,0,30948.0,36571.0,32937.0,35499.0,30159.0,4741.987663417027,34457.0,31970.428571428572,5036.544743412586,36571.0,34239.42857142857,5183.15801736295,41195.0,-18.98668734651674,-8.802980117216453,25821984.5,7.722202446899043,-12.935126582278482,-16.729857819905213,29.630769230769232,25.91566265060241,-2.036334913112164,-4.594637223974764,-4.344311377245509,-9.8562874251497,10.684294871794872,12.84430176565008,-1430.8858383233535
2021-08-23,32474773,435110,India,25467.0,354.0,32013.42857142857,0.0784824180831478,1.3398400044243577,-4.431746031746032,41.75213675213675,5.576377952755905,-13.898355754857995,9.466141732283464,0,23,8,2021,34,0,0.0,1.0,-0.8660254037844385,-0.5000000000000004,0,25072.0,34457.0,25166.0,28204.0,27162.333333333332,3284.426941390619,30948.0,32013.428571428572,4969.609134770757,36571.0,34043.92857142857,5471.890918618672,41195.0,1.5754626675175576,20.562150014034298,25847451.5,5.554966391532897,-3.057233704292528,-4.20859872611465,46.72898799313894,45.58904109589041,2.305993690851735,0.9747634069400632,-9.750373692077728,-9.623318385650224,10.54015748031496,10.946456692913388,-2453.779043348281
2021-08-24,32512366,435758,India,37593.0,648.0,32358.42857142857,0.1157606244083675,1.3402838784479727,-0.923809523809524,46.691252144082334,13.023584905660377,-9.029895366218236,8.63993710691824,1,24,8,2021,34,0,0.7818314824680298,0.6234898018587336,-0.8660254037844385,-0.5000000000000004,0,25467.0,30948.0,35178.0,38353.0,29377.333333333332,7117.716651661022,37593.0,32358.428571428572,5298.836660286566,37593.0,33989.642857142855,5429.458304288628,41195.0,47.61456001884792,46.03909735133036,25885044.5,1.3925142728214057,-3.892234548335975,-1.848966613672496,43.50515463917526,47.10671256454389,2.979559748427673,4.325984251968504,-8.853512705530642,-7.6741405082212255,10.624605678233438,10.227129337539433,-3114.4886995515694
2021-08-25,32558530,436365,India,46164.0,607.0,33753.142857142855,0.1419890511813237,1.3402478551703656,-1.1333333333333333,47.32933104631218,9.657728706624606,-5.144992526158445,9.089905362776026,2,25,8,2021,34,0,0.9749279121818236,-0.22252093395631434,-0.8660254037844385,-0.5000000000000004,0,37593.0,25072.0,36401.0,41195.0,36408.0,10399.260598715633,46164.0,33753.142857142855,7406.088068353372,46164.0,34344.57142857143,6062.250073696298,46164.0,22.799457345782457,-24.81510267306546,25931208.5,1.4276256289107994,-3.1123417721518987,-1.5253968253968253,46.4082332761578,48.029209621993125,5.028346456692914,4.766929133858268,-4.294469357249627,-6.301943198804185,10.573228346456691,9.9937106918239,-1563.2297907324364
