date,retail_recreation,grocery_pharmacy,transit,workplaces,residential
2021-06-07,-28.35238095238095,20.62925170068027,-25.06782334384858,-26.805680119581464,18.384858044164037
2021-06-08,-26.94470774091627,21.555555555555557,-22.773228346456694,-26.128550074738417,17.72107765451664
2021-06-09,-24.301109350237716,26.540955631399317,-19.845425867507885,-24.05680119581465,16.979462875197473
2021-06-10,-27.29113924050633,18.675767918088738,-23.373817034700316,-24.80866965620329,18.326498422712934
2021-06-11,-23.335443037974684,27.448040885860305,-19.45511811023622,-21.744394618834082,17.562401263823066
2021-06-12,-35.426540284360186,6.707692307692308,-28.247244094488188,-29.5186846038864,19.329093799682035
2021-06-13,-42.074484944532486,-6.257731958762887,-32.22870662460568,-25.187406296851574,17.937399678972714
2021-06-14,-20.866666666666667,29.212947189097104,-17.542586750788644,-23.301943198804185,15.618296529968454
2021-06-15,-22.75079365079365,24.156996587030715,-18.206624605678233,-23.872944693572496,15.295418641390205
2021-06-16,-20.618066561014263,27.42419080068143,-15.959055118110236,-21.96412556053812,14.44006309148265
2021-06-17,-22.25079365079365,23.60683760683761,-17.7602523659306,-21.75186846038864,15.297637795275591
2021-06-18,-19.946287519747237,29.667235494880547,-15.924409448818897,-19.26457399103139,14.962085308056873
2021-06-19,-30.86392405063291,11.037606837606837,-23.02201257861635,-22.381165919282513,15.852380952380953
2021-06-20,-37.61769352290679,-1.7056798623063683,-27.620853080568722,-24.26497005988024,14.601926163723917
2021-06-21,-16.88095238095238,32.502546689303905,-13.941640378548897,-22.150971599402094,12.211356466876971
2021-06-22,-18.484944532488115,27.834752981260646,-14.294025157232705,-21.99103139013453,12.899053627760253
2021-06-23,-16.8596214511041,31.267581475128644,-11.433070866141732,-19.391629297458895,12.572555205047319
2021-06-24,-17.632911392405063,27.906143344709896,-14.023547880690737,-20.60388639760837,13.622047244094489
2021-06-25,-15.402843601895734,33.87692307692308,-11.55379746835443,-16.62780269058296,13.102685624012638
2021-06-26,-25.041009463722396,17.80821917808219,-17.836734693877553,-21.707025411061284,14.941269841269841
2021-06-27,-31.84944532488114,4.756013745704467,-21.767772511848342,-18.842814371257486,14.163723916532906
2021-06-28,-12.16852146263911,36.733333333333334,-9.056692913385827,-17.977578475336323,11.65251572327044
2021-06-29,-16.34817170111288,28.710120068610635,-12.015748031496063,-18.47234678624813,12.235015772870662
2021-06-30,-15.4391785150079,30.31958762886598,-10.177952755905512,-17.458893871449924,11.537854889589905
2021-07-01,-12.898412698412699,33.205128205128204,-8.733858267716535,-16.72645739910314,12.754330708661417
2021-07-02,-11.093354430379748,38.77186963979417,-7.205371248025276,-14.026905829596412,12.872037914691942
2021-07-03,-18.577287066246058,26.756849315068493,-10.173228346456693,-14.714071856287426,13.595238095238095
2021-07-04,-25.712025316455698,14.111301369863014,-14.596850393700787,-16.10944527736132,13.618589743589743
2021-07-05,-7.038155802861685,43.455631399317404,-3.3186119873817033,-14.010463378176382,11.488188976377952
2021-07-06,-8.972929936305732,38.392426850258175,-4.172955974842767,-14.69357249626308,11.793375394321767
2021-07-07,-8.825396825396826,39.33617747440273,-3.099212598425197,-13.605381165919283,11.551505546751189
2021-07-08,-10.971473851030112,35.536752136752135,-6.124409448818898,-13.406576980568012,12.651419558359622
2021-07-09,-7.784469096671949,43.06861063464837,-2.807266982622433,-10.801195814648729,12.605678233438486
2021-07-10,-17.1403785488959,28.194539249146757,-7.714511041009464,-18.159940209267564,13.713831478537362
2021-07-11,-23.242472266244057,16.71965811965812,-10.77602523659306,-14.464071856287426,12.951845906902086
2021-07-12,-8.273015873015874,40.75689655172414,-2.746456692913386,-16.49775784753363,11.469194312796208
2021-07-13,-10.083860759493671,36.73275862068966,-2.9276729559748427,-15.215246636771301,11.489763779527559
2021-07-14,-8.055467511885896,40.04965753424658,-1.1448818897637796,-12.394618834080717,11.288643533123029
2021-07-15,-8.584786053882725,38.54358974358974,-2.6677165354330707,-12.355754857997011,11.836220472440944
2021-07-16,-7.643423137876387,42.623931623931625,-1.4565560821484993,-10.51270553064275,11.608832807570979
2021-07-17,-16.803797468354432,28.266323024054984,-6.653543307086614,-11.8937125748503,12.558028616852146
2021-07-18,-22.760697305863708,17.713058419243985,-10.916403785488958,-13.02694610778443,13.284109149277688
2021-07-19,-9.637519872813991,38.824742268041234,-4.365930599369086,-14.109118086696562,12.377952755905511
2021-07-20,-9.44920634920635,39.675257731958766,-2.8962264150943398,-13.849028400597907,12.124605678233438
2021-07-21,-15.873015873015873,27.533333333333335,-11.044094488188977,-29.88490284005979,15.723101265822784
2021-07-22,-11.861685214626391,33.389078498293514,-6.371069182389937,-13.837070254110612,12.613564668769715
2021-07-23,-10.647619047619047,37.644444444444446,-4.539432176656152,-10.811659192825113,12.75829383886256
2021-07-24,-17.655555555555555,26.101027397260275,-8.541732283464567,-15.384730538922156,13.500794912559618
2021-07-25,-22.93522906793049,16.572898799313894,-11.266561514195583,-12.146926536731634,13.560192616372392
2021-07-26,-9.119236883942767,39.76541095890411,-3.348031496062992,-11.127055306427504,11.670347003154575
2021-07-27,-12.43402225755167,32.506003430531734,-6.192125984251969,-11.544095665171898,12.656645569620252
2021-07-28,-12.915739268680445,32.343053173241856,-6.605678233438486,-9.893871449925262,13.009478672985782
2021-07-29,-12.418124006359301,32.31111111111111,-7.729559748427673,-9.303437967115098,13.605678233438486
2021-07-30,-11.35126582278481,36.57975986277873,-6.802215189873418,-7.119581464872945,13.405362776025237
2021-07-31,-16.0695102685624,29.256410256410255,-7.634645669291339,-7.600299401197605,12.97933227344992
2021-08-01,-17.26782884310618,24.35042735042735,-6.982649842271293,-9.440119760479043,12.598715890850722
2021-08-02,-7.623211446740859,42.05811965811966,-2.5534591194968552,-10.058295964125561,11.439370078740158
2021-08-03,-6.662440570522979,41.680960548885075,-1.4355345911949686,-10.639760837070254,11.180817610062894
2021-08-04,-6.104928457869635,43.213058419243985,0.3669291338582677,-7.648729446935725,10.894488188976378
2021-08-05,-5.789223454833597,42.13504273504274,-0.8820754716981132,-7.249626307922272,11.500784929356358
2021-08-06,-5.313291139240507,45.111876075731494,0.5946372239747634,-5.5874439461883405,11.558359621451103
2021-08-07,-10.348101265822784,36.62157534246575,-0.25826771653543307,-4.758982035928144,11.353407290015848
2021-08-08,-16.729857819905213,25.91566265060241,-4.594637223974764,-9.8562874251497,12.84430176565008
2021-08-09,-4.20859872611465,45.58904109589041,0.9747634069400631,-9.623318385650224,10.946456692913387
2021-08-10,-1.848966613672496,47.10671256454389,4.325984251968504,-7.6741405082212255,10.227129337539433
2021-08-11,-1.5253968253968253,48.029209621993125,4.766929133858268,-6.301943198804185,9.9937106918239
2021-08-12,-3.819620253164557,44.00684931506849,1.7118110236220472,-6.36322869955157,10.940251572327044
2021-08-13,-3.4247226624405704,46.23407917383821,2.688783570300158,-5.210762331838565,11.274015748031497
2021-08-14,-5.682464454976303,43.361301369863014,1.3333333333333333,-8.868263473053892,11.646592709984152
2021-08-15,-12.935126582278482,29.630769230769232,-2.036334913112164,-4.344311377245509,10.684294871794872
2021-08-16,-3.057233704292528,46.72898799313894,2.305993690851735,-9.750373692077728,10.54015748031496
2021-08-17,-3.8922345483359746,43.50515463917526,2.979559748427673,-8.853512705530642,10.624605678233438
2021-08-18,-3.1123417721518987,46.4082332761578,5.028346456692914,-4.294469357249627,10.573228346456693
2021-08-19,-1.8351822503961965,48.40963855421687,5.303459119496855,-7.621823617339312,11.133437990580848
2021-08-20,-2.4098101265822787,47.784246575342465,4.145339652448657,-18.113602391629296,13.227848101265822
2021-08-21,1.6240126382306477,54.43739279588336,14.3801261829653,-6.457399103139013,9.751188589540412
2021-08-22,-10.04739336492891,34.29623287671233,7.595576619273301,-20.193403298350823,8.243589743589743
2021-08-23,-4.431746031746032,41.75213675213675,5.576377952755905,-13.898355754857997,9.466141732283464
2021-08-24,-0.9238095238095239,46.691252144082334,13.023584905660377,-9.029895366218236,8.63993710691824
2021-08-25,-1.1333333333333333,47.32933104631218,9.657728706624606,-5.144992526158445,9.089905362776026
2021-08-26,-3.2468354430379747,43.022222222222226,4.658267716535433,-6.15695067264574,10.488993710691824
2021-08-27,-2.954113924050633,46.092150170648466,5.4454976303317535,-3.671150971599402,10.683464566929134
2021-08-28,-6.235387045813586,40.592465753424655,4.061320754716981,-5.330838323353293,11.419968304278923
2021-08-29,-9.347619047619048,33.83533447684391,1.7883096366508688,-6.031437125748503,11.982343499197432
2021-08-30,-4.652931854199683,42.45641025641026,-1.215748031496063,-22.738415545590435,14.416403785488958
2021-08-31,-3.549206349206349,40.567241379310346,5.437795275590551,-7.3976083707025415,9.866352201257861
2021-09-01,-2.249206349206349,44.71206896551724,6.990551181102362,-4.7907324364723465,9.934065934065934
2021-09-02,-2.2741679873217118,44.855442176870746,3.5252365930599368,-3.6427503736920777,10.865203761755486
2021-09-03,-1.8753943217665616,47.27101200686106,3.2708661417322835,-1.5127055306427504,11.162460567823343
2021-09-04,-3.593059936908517,44.11835334476844,4.280757097791798,1.875748502994012,10.501582278481013
2021-09-05,-6.94620253164557,38.38448275862069,2.1074249605055293,-3.8353293413173652,11.460674157303371
2021-09-06,-2.407936507936508,44.85445205479452,3.0677165354330707,-5.095665171898355,10.392125984251969
2021-09-07,-0.9033280507131537,46.480274442538594,5.1559055118110235,-4.937219730941704,10.103610675039246
2021-09-08,4.378378378378378,56.998275862068965,11.94006309148265,-2.5680119581464873,8.786499215070643
2021-09-09,2.786053882725832,55.18384879725086,9.6403785488959,-4.690582959641255,9.89655172413793
2021-09-10,-1.5632911392405062,47.59005145797599,3.543307086614173,-13.402092675635277,12.670886075949367
2021-09-11,-5.530805687203792,40.56143344709898,2.042452830188679,-9.784431137724551,12.074603174603174
2021-09-12,-6.969936708860759,37.36614853195164,4.735759493670886,-5.820089955022489,10.818619582664526
2021-09-13,-2.2805071315372425,43.67465753424658,5.507086614173228,-5.639760837070254,10.105511811023622
2021-09-14,-2.5007923930269413,43.40172413793103,5.159055118110237,-6.458893871449925,10.12755905511811
2021-09-15,-0.4356120826709062,47.82241379310345,8.001577287066246,-3.9417040358744395,9.54160125588697
2021-09-16,-2.2301587301587302,43.812714776632305,5.330708661417323,-6.618834080717488,10.670846394984325
2021-09-17,-2.372827804107425,46.4639175257732,3.029968454258675,-7.576980568011958,11.581102362204724
2021-09-18,-2.0678233438485805,46.460481099656356,7.031545741324921,-0.4505988023952096,9.906793048973144
2021-09-19,-6.357030015797788,38.158347676419965,4.7705696202531644,-5.1946107784431135,10.951845906902086
2021-09-20,-0.46337579617834396,45.85591766723842,6.186119873817034,-4.508221225710015,9.858490566037736
2021-09-21,-1.388272583201268,43.922680412371136,5.55748031496063,-3.8370702541106128,10.147566718995291
2021-09-22,-0.27980922098569155,46.37264957264957,7.163779527559055,1.0807174887892377,10.279434850863423
2021-09-23,-1.4161392405063291,44.16267123287671,4.653543307086614,0.01195814648729447,10.970219435736677
2021-09-24,0.3375594294770206,48.56946826758148,8.075829383886257,1.85949177877429,10.273584905660377
2021-09-25,-2.170616113744076,43.81786941580756,8.78740157480315,-0.4476047904191617,10.034810126582279
2021-09-26,-6.533227848101266,36.17353951890034,4.954113924050633,-2.57185628742515,11.044943820224718
2021-09-27,-7.855555555555555,35.06655290102389,-2.056692913385827,-6.582959641255606,12.111811023622048
2021-09-28,0.24006359300476948,47.37413793103448,8.198425196850394,-1.905829596412556,9.550314465408805
2021-09-29,-0.9047619047619048,46.25557461406518,6.932283464566929,0.44095665171898357,9.6436420722135
2021-09-30,-0.7088607594936709,45.16894197952218,6.21259842519685,0.6591928251121076,10.023474178403756
2021-10-01,3.526148969889065,52.638698630136986,12.154818325434439,2.5440956651718984,9.29245283018868
2021-10-02,-0.9225908372827805,46.60958904109589,5.822047244094488,-17.877245508982035,13.131746031746031
2021-10-03,-1.6170886075949367,43.91896551724138,8.5608214849921,-1.4902548725637181,10.595505617977528
2021-10-04,3.953968253968254,52.679310344827584,11.296062992125984,0.3243647234678625,8.312893081761006
2021-10-05,4.544444444444444,52.90721649484536,12.277602523659306,-0.8236173393124065,8.169544740973313
2021-10-06,5.698412698412699,56.519793459552496,12.615141955835963,-2.603886397608371,8.725274725274724
2021-10-07,4.272292993630574,54.4708904109589,10.789638932496075,-0.7384155455904334,9.294670846394984
2021-10-08,6.455555555555556,57.3013698630137,14.584518167456556,2.9327354260089686,8.682389937106919
2021-10-09,5.313880126182966,55.00856164383562,15.041009463722398,-2.3308383233532934,9.19175911251981
2021-10-10,5.518225039619652,53.07917383820998,16.614896988906498,1.0389805097451275,8.809904153354633
2021-10-11,10.255591054313099,59.25,16.935433070866143,-1.4962630792227205,8.11320754716981
2021-10-12,14.020700636942674,64.76165803108809,21.95886075949367,-5.467862481315396,7.575235109717869
2021-10-13,16.46422893481717,69.02951388888889,25.365079365079364,-9.457399103139014,7.227629513343799
2021-10-14,16.084260731319556,63.8272884283247,23.12460567823344,-19.82660687593423,8.88679245283019
