date,confirmed,deaths,country,new_cases,new_deaths,new_cases_7day_avg,growth_rate,case_fatality_rate,retail_recreation,grocery_pharmacy,transit,workplaces,residential
2020-11-20,9050597,132726,India,46232.0,564.0,39588.28571428572,0.5134398705516796,1.4664888957048912,-13.883572567783094,27.36779661016949,-9.425632911392404,-20.40657698056801,8.190851735015773
2020-11-21,9095806,133227,India,45209.0,501.0,40175.28571428572,0.4995140099597783,1.4647080203777434,-15.368839427662955,23.540816326530614,-10.943217665615142,-15.24813153961136,7.084126984126984
2020-11-22,9139865,133738,India,44059.0,511.0,42105.42857142857,0.4843880795170951,1.463238242577981,-17.0048,21.38860103626943,-8.354430379746836,-9.928035982008996,6.582137161084529
2020-11-23,9177840,134218,India,37975.0,480.0,43364.28571428572,0.4154875372885724,1.462413814143633,-13.089456869009584,26.45221843003413,-9.549763033175356,-17.225710014947683,7.678740157480315
2020-11-24,9222216,134699,India,44376.0,481.0,44187.0,0.483512460448221,1.460592551725095,-12.36,27.09417808219178,-7.922712933753943,-18.301943198804185,7.629921259842519
2020-11-25,9266705,135223,India,44489.0,524.0,44031.71428571428,0.4824111688557231,1.4592349707905885,-13.2768,25.817094017094018,-7.151419558359621,-17.90732436472347,7.516535433070866
2020-11-26,9309787,135715,India,43082.0,492.0,43631.71428571428,0.464911745868668,1.4577669714677683,-18.118780096308186,16.76779661016949,-13.248818897637795,-21.14050822122571,8.985849056603774
2020-11-27,9351109,136200,India,41322.0,485.0,42930.28571428572,0.4438554824079288,1.4565117356668604,-14.259968102073366,24.5271186440678,-8.409448818897637,-15.70254110612855,7.84433962264151
2020-11-28,9392919,136696,India,41810.0,496.0,42444.71428571428,0.4471127435259348,1.455309047166275,-14.154213036565976,25.58714043993232,-9.236593059936908,-13.642750373692078,8.340729001584785
2020-11-29,9431691,137139,India,38772.0,443.0,41689.42857142857,0.4127790306719392,1.4540234619645618,-16.492012779552716,21.953767123287676,-8.605678233438486,-8.295352323838081,7.146730462519936
2020-11-30,9462809,137621,India,31118.0,482.0,40709.857142857145,0.329930232023079,1.4543355995032765,-12.947368421052632,24.01022146507666,-10.257097791798108,-28.334828101644245,8.626182965299684
2020-12-01,9499413,138122,India,36604.0,501.0,39599.57142857143,0.3868196008183222,1.4540056317164018,-11.440894568690096,26.54871794871795,-5.41259842519685,-17.899850523168908,5.959183673469388
2020-12-02,9534964,138648,India,35551.0,526.0,38322.71428571428,0.3742441769823079,1.4541009279112118,-14.60702875399361,24.775127768313457,-6.692913385826771,-12.159940209267564,6.84433962264151
2020-12-03,9571559,139188,India,36595.0,540.0,37396.0,0.3837979881203601,1.4541831691159195,-16.338658146964857,21.76101694915254,-9.823622047244095,-12.765321375186844,8.659340659340659
2020-12-04,9608211,139700,India,36652.0,512.0,36728.857142857145,0.3829261252007221,1.453964739117407,-15.55095541401274,24.67572156196944,-8.958990536277602,-10.822122571001495,8.695924764890282
2020-12-05,9644222,140182,India,36011.0,482.0,35900.42857142857,0.3747940173253861,1.4535335250474326,-15.108108108108109,24.0991452991453,-8.82018927444795,-7.125560538116592,7.6234177215189876
2020-12-06,9677203,140573,India,32981.0,391.0,35073.142857142855,0.3419767815382002,1.452620142410984,-16.527910685805423,20.945017182130584,-7.023696682464455,-7.241379310344827,6.537480063795853
2020-12-07,9703770,140958,India,26567.0,385.0,34423.0,0.2745318042826961,1.4526106863621049,-13.054313099041533,25.176570458404075,-6.296062992125984,-15.612855007473842,6.022012578616352
2020-12-08,9735850,141360,India,32080.0,402.0,33776.71428571428,0.3305931612146651,1.4519533476789392,-25.030254777070063,7.1416382252559725,-19.2251968503937,-20.54110612855008,9.555205047318612
2020-12-09,9767371,141772,India,31521.0,412.0,33201.0,0.3237621779300204,1.451485768278895,-12.8832,26.97448979591837,1.6482649842271293,-12.34678624813154,6.770440251572327
2020-12-10,9796744,142185,India,29373.0,413.0,32169.285714285717,0.3007257531222995,1.4513495504220586,-14.392344497607656,25.32937181663837,2.3990536277602525,-12.671150971599404,9.902208201892744
2020-12-11,9826775,142628,India,30031.0,443.0,31223.42857142857,0.3065406220678968,1.451422262135848,-15.629984051036685,25.75423728813559,2.110410094637224,-11.732436472346786,11.695583596214512
2020-12-12,9857029,143019,India,30254.0,391.0,30401.0,0.3078731323348682,1.4509341506451894,-19.52373417721519,21.31756756756757,-3.3706624605678237,-11.600896860986548,12.855555555555556
2020-12-13,9884100,143355,India,27071.0,336.0,29556.714285714286,0.2746365055839916,1.450359668558594,-20.60828025477707,17.632302405498283,-1.4161392405063291,-3.077961019490255,11.8944
